model,model_adj_r2,model_aic,model_bic,model_f_stat,model_f_stat_pval,model_r2,pred_coef,pred_col,pred_col_pval,pred_num_miss
incoming_avg_5th_grade_ela_rating_2016_dist_diff,0.08348142731998942,3458.227878945341,3465.6750491492458,28.781035858491485,1.60868761764955e-07,0.08648640624680926,53.35045806208021,const,6.21637517572754e-33,
incoming_avg_5th_grade_ela_rating_2016_dist_diff,0.08348142731998942,3458.227878945341,3465.6750491492458,28.781035858491485,1.60868761764955e-07,0.08648640624680926,65.15964834830672,incoming_avg_5th_grade_ela_rating_2016_dist_diff,1.6086876176496354e-07,143.0
incoming_avg_5th_grade_ela_rating_2016_val,0.2752710064229369,3386.3838069960875,3393.830977199992,116.84696859525909,2.9153295632148745e-23,0.27764716705761583,-203.80951744217361,const,6.0216123408668e-16,
incoming_avg_5th_grade_ela_rating_2016_val,0.2752710064229369,3386.3838069960875,3393.830977199992,116.84696859525909,2.9153295632148745e-23,0.27764716705761583,94.63908388226066,incoming_avg_5th_grade_ela_rating_2016_val,2.915329563215012e-23,143.0
incoming_avg_5th_grade_ela_rating_2017_city_diff,0.28489635414011527,3321.3381247730367,3328.745689722349,120.12120764740894,1.0374912963467036e-23,0.2872880051296133,62.0776861598198,const,1.3264519502832978e-45,
incoming_avg_5th_grade_ela_rating_2017_city_diff,0.28489635414011527,3321.3381247730367,3328.745689722349,120.12120764740894,1.0374912963467036e-23,0.2872880051296133,94.11625951520159,incoming_avg_5th_grade_ela_rating_2017_city_diff,1.0374912963466861e-23,149.0
incoming_avg_5th_grade_ela_rating_2017_dist_diff,0.089627425756727,3393.7660587328787,3401.173623682191,30.436959174145947,7.493576164149537e-08,0.09267215008529983,54.421024838573864,const,7.172423639318595e-33,
incoming_avg_5th_grade_ela_rating_2017_dist_diff,0.089627425756727,3393.7660587328787,3401.173623682191,30.436959174145947,7.493576164149537e-08,0.09267215008529983,66.27086052970152,incoming_avg_5th_grade_ela_rating_2017_dist_diff,7.493576164149446e-08,149.0
incoming_avg_5th_grade_ela_rating_2017_val,0.2850091472013506,3321.2908021402004,3328.698367089513,120.18716817095039,1.0131970834979728e-23,0.28740042095653007,-201.26903589500887,const,3.7098418591600206e-16,
incoming_avg_5th_grade_ela_rating_2017_val,0.2850091472013506,3321.2908021402004,3328.698367089513,120.18716817095039,1.0131970834979728e-23,0.28740042095653007,94.24145442493062,incoming_avg_5th_grade_ela_rating_2017_val,1.0131970834979209e-23,149.0
incoming_avg_5th_grade_math_rating_2016_city_diff,0.34782098218830093,3354.1073273741995,3361.554497578104,163.66300612274748,2.8346916258666652e-30,0.34995927404997873,63.88364064665615,const,1.2891207487475466e-51,
incoming_avg_5th_grade_math_rating_2016_city_diff,0.34782098218830093,3354.1073273741995,3361.554497578104,163.66300612274748,2.8346916258666652e-30,0.34995927404997873,92.7249891060062,incoming_avg_5th_grade_math_rating_2016_city_diff,2.8346916258668057e-30,143.0
incoming_avg_5th_grade_math_rating_2016_dist_diff,0.09563423455101239,3454.1432546204023,3461.590424824307,33.25292536762227,1.9888114990239583e-08,0.09859936820822224,54.05899919531142,const,8.752908004047728e-34,
